μ	Permutation_Entropy	Pattern_Probabilities
1.8199990000000001	0.6104637822468436	0.0,0.019095477386934675,0.1507537688442211,0.0,0.15175879396984926,0.2633165829145729,0.0,0.0,0.019095477386934675,0.13165829145728644,0.264321608040201,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6258202075098085	0.0,0.023115577889447236,0.1678391959798995,0.0,0.1678391959798995,0.2371859296482412,0.0,0.0,0.023115577889447236,0.14472361809045226,0.23618090452261306,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6307754394970415	0.0,0.02814070351758794,0.1628140703517588,0.0,0.16381909547738693,0.24120603015075376,0.0,0.0,0.02814070351758794,0.13467336683417086,0.24120603015075376,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6222900609070109	0.0,0.027135678391959798,0.1507537688442211,0.0,0.1507537688442211,0.26030150753768844,0.0,0.0,0.027135678391959798,0.12361809045226131,0.26030150753768844,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6090377516448311	0.0,0.021105527638190954,0.14472361809045226,0.0,0.14371859296482412,0.2733668341708543,0.0,0.0,0.021105527638190954,0.12361809045226131,0.2723618090452261,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6070817753256947	0.0,0.023115577889447236,0.13768844221105528,0.0,0.13768844221105528,0.2814070351758794,0.0,0.0,0.023115577889447236,0.11557788944723618,0.2814070351758794,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6275263021547006	0.0,0.02914572864321608,0.15477386934673368,0.0,0.15477386934673368,0.25326633165829143,0.0,0.0,0.02914572864321608,0.12562814070351758,0.25326633165829143,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6184829389886323	0.0,0.023115577889447236,0.15376884422110554,0.0,0.15376884422110554,0.25829145728643216,0.0,0.0,0.023115577889447236,0.1306532663316583,0.25728643216080405,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6386562107379119	0.0,0.032160804020100506,0.16884422110552763,0.0,0.16984924623115577,0.23015075376884422,0.0,0.0,0.032160804020100506,0.13668341708542714,0.23015075376884422,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6152402289477052	0.0,0.022110552763819097,0.1507537688442211,0.0,0.15175879396984926,0.2623115577889447,0.0,0.0,0.022110552763819097,0.12864321608040202,0.2623115577889447,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.62185108602447	0.0,0.02512562814070352,0.15477386934673368,0.0,0.15376884422110554,0.2562814070351759,0.0,0.0,0.02512562814070352,0.12964824120603016,0.2552763819095477,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6145860067092487	0.0,0.02613065326633166,0.14271356783919598,0.0,0.14170854271356784,0.2743718592964824,0.0,0.0,0.02613065326633166,0.11557788944723618,0.2733668341708543,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.612283692905528	0.0,0.024120603015075376,0.14271356783919598,0.0,0.14271356783919598,0.2733668341708543,0.0,0.0,0.024120603015075376,0.1185929648241206,0.2743718592964824,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6184602470992081	0.0,0.02613065326633166,0.1457286432160804,0.0,0.14673366834170853,0.26733668341708544,0.0,0.0,0.027135678391959798,0.11959798994974874,0.26733668341708544,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6221326813824462	0.0,0.022110552763819097,0.1628140703517588,0.0,0.16381909547738693,0.2442211055276382,0.0,0.0,0.022110552763819097,0.1407035175879397,0.2442211055276382,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6172132896233278	0.0,0.023115577889447236,0.15175879396984926,0.0,0.15175879396984926,0.26030150753768844,0.0,0.0,0.023115577889447236,0.12864321608040202,0.2613065326633166,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6206851966211328	0.0,0.023115577889447236,0.15678391959798996,0.0,0.1577889447236181,0.2522613065326633,0.0,0.0,0.023115577889447236,0.13467336683417086,0.2522613065326633,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6125475510983172	0.0,0.020100502512562814,0.15175879396984926,0.0,0.15175879396984926,0.2623115577889447,0.0,0.0,0.020100502512562814,0.13165829145728644,0.2623115577889447,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6220162563272273	0.0,0.02613065326633166,0.15175879396984926,0.0,0.1527638190954774,0.25829145728643216,0.0,0.0,0.02613065326633166,0.12663316582914572,0.25829145728643216,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6258005685090338	0.0,0.02512562814070352,0.16080402010050251,0.0,0.16180904522613065,0.24522613065326634,0.0,0.0,0.02512562814070352,0.13668341708542714,0.24522613065326634,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6224276035030273	0.0,0.021105527638190954,0.1678391959798995,0.0,0.16683417085427135,0.23919597989949748,0.0,0.0,0.021105527638190954,0.1457286432160804,0.23819095477386934,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6296084706929171	0.0,0.02814070351758794,0.16080402010050251,0.0,0.16080402010050251,0.2442211055276382,0.0,0.0,0.02814070351758794,0.13266331658291458,0.24522613065326634,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6169635299705538	0.0,0.022110552763819097,0.15376884422110554,0.0,0.15376884422110554,0.25829145728643216,0.0,0.0,0.022110552763819097,0.13165829145728644,0.25829145728643216,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6238089035549564	0.0,0.02914572864321608,0.1487437185929648,0.0,0.14974874371859295,0.2613065326633166,0.0,0.0,0.02914572864321608,0.11959798994974874,0.2623115577889447,0.0,0.0,0.0,0.0,0.0
1.839998	0.635452650260836	0.0,0.033165829145728645,0.15979899497487438,0.0,0.15979899497487438,0.24321608040201004,0.0,0.0,0.033165829145728645,0.12663316582914572,0.2442211055276382,0.0,0.0,0.0,0.0,0.0
1.839998	0.6515896175814061	0.0,0.044221105527638194,0.1678391959798995,0.0,0.16884422110552763,0.22512562814070353,0.0,0.0,0.044221105527638194,0.12462311557788945,0.22512562814070353,0.0,0.0,0.0,0.0,0.0
1.839998	0.6371848302614637	0.0,0.02914572864321608,0.17587939698492464,0.0,0.1748743718592965,0.2221105527638191,0.0,0.0,0.02914572864321608,0.14673366834170853,0.2221105527638191,0.0,0.0,0.0,0.0,0.0
1.839998	0.6365110038115197	0.0,0.033165829145728645,0.16180904522613065,0.0,0.16180904522613065,0.24120603015075376,0.0,0.0,0.033165829145728645,0.12864321608040202,0.24020100502512562,0.0,0.0,0.0,0.0,0.0
1.839998	0.637233760921117	0.0,0.032160804020100506,0.1658291457286432,0.0,0.1658291457286432,0.23517587939698492,0.0,0.0,0.032160804020100506,0.13366834170854272,0.23517587939698492,0.0,0.0,0.0,0.0,0.0
1.839998	0.6468037065303863	0.0,0.04020100502512563,0.16683417085427135,0.0,0.16683417085427135,0.23015075376884422,0.0,0.0,0.04020100502512563,0.12663316582914572,0.22914572864321608,0.0,0.0,0.0,0.0,0.0
1.839998	0.6349797412704832	0.0,0.036180904522613064,0.15376884422110554,0.0,0.1527638190954774,0.2522613065326633,0.0,0.0,0.036180904522613064,0.11658291457286432,0.2522613065326633,0.0,0.0,0.0,0.0,0.0
1.839998	0.6485284581135149	0.0,0.044221105527638194,0.1628140703517588,0.0,0.16180904522613065,0.23517587939698492,0.0,0.0,0.044221105527638194,0.11758793969849246,0.23417085427135678,0.0,0.0,0.0,0.0,0.0
1.839998	0.6411644100019149	0.0,0.036180904522613064,0.16381909547738693,0.0,0.16482412060301507,0.23517587939698492,0.0,0.0,0.036180904522613064,0.12763819095477386,0.23618090452261306,0.0,0.0,0.0,0.0,0.0
1.839998	0.6366538411853361	0.0,0.033165829145728645,0.16180904522613065,0.0,0.1628140703517588,0.24020100502512562,0.0,0.0,0.033165829145728645,0.12864321608040202,0.24020100502512562,0.0,0.0,0.0,0.0,0.0
1.839998	0.6622331437871946	0.0,0.05125628140703518,0.18190954773869347,0.0,0.18190954773869347,0.2020100502512563,0.0,0.0,0.05125628140703518,0.1306532663316583,0.20100502512562815,0.0,0.0,0.0,0.0,0.0
1.839998	0.6481696586526011	0.0,0.04120603015075377,0.16683417085427135,0.0,0.1678391959798995,0.22814070351758794,0.0,0.0,0.04120603015075377,0.12663316582914572,0.22814070351758794,0.0,0.0,0.0,0.0,0.0
1.839998	0.6341870479379871	0.0,0.034170854271356785,0.15477386934673368,0.0,0.15577889447236182,0.2492462311557789,0.0,0.0,0.034170854271356785,0.12160804020100502,0.25025125628140704,0.0,0.0,0.0,0.0,0.0
1.839998	0.6400165723329465	0.0,0.035175879396984924,0.16482412060301507,0.0,0.16381909547738693,0.23618090452261306,0.0,0.0,0.035175879396984924,0.12864321608040202,0.23618090452261306,0.0,0.0,0.0,0.0,0.0
1.839998	0.6464338800310235	0.0,0.03819095477386935,0.17185929648241205,0.0,0.1708542713567839,0.2241206030150754,0.0,0.0,0.03819095477386935,0.13266331658291458,0.2241206030150754,0.0,0.0,0.0,0.0,0.0
