ρ	Permutation_Entropy	Pattern_Probabilities
28.24	0.9587914123836454	0.011055276381909548,0.054271356783919596,0.08542713567839195,0.07537688442211055,0.08542713567839195,0.03919597989949749,0.1035175879396985,0.05025125628140704,0.05527638190954774,0.10653266331658291,0.03919597989949749,0.07839195979899498,0.07537688442211055,0.07839195979899498,0.05025125628140704,0.012060301507537688
28.24	0.9426167801830106	0.012060301507537688,0.062311557788944726,0.06733668341708543,0.1035175879396985,0.06432160804020101,0.020100502512562814,0.10653266331658291,0.06432160804020101,0.062311557788944726,0.10854271356783919,0.017085427135678392,0.06633165829145729,0.10753768844221105,0.06331658291457286,0.06432160804020101,0.010050251256281407
28.24	0.9529603083986107	0.009045226130653266,0.06432160804020101,0.08040201005025126,0.09447236180904522,0.07738693467336684,0.03015075376884422,0.0964824120603015,0.05829145728643216,0.06432160804020101,0.11055276381909548,0.027135678391959798,0.061306532663316586,0.0964824120603015,0.05829145728643216,0.05829145728643216,0.01306532663316583
28.24	0.9566044202625152	0.012060301507537688,0.061306532663316586,0.06934673366834171,0.09547738693467336,0.07236180904522613,0.024120603015075376,0.09447236180904522,0.06834170854271357,0.061306532663316586,0.1035175879396985,0.027135678391959798,0.06633165829145729,0.09246231155778895,0.06934673366834171,0.06834170854271357,0.01407035175879397
28.24	0.9524765214292139	0.01306532663316583,0.054271356783919596,0.06331658291457286,0.1035175879396985,0.07537688442211055,0.024120603015075376,0.10854271356783919,0.05728643216080402,0.054271356783919596,0.11155778894472362,0.036180904522613064,0.06331658291457286,0.09045226130653267,0.07537688442211055,0.05728643216080402,0.012060301507537688
28.24	0.9510667715399036	0.01407035175879397,0.06432160804020101,0.06432160804020101,0.10452261306532663,0.06633165829145729,0.020100502512562814,0.10150753768844221,0.06432160804020101,0.06532663316582915,0.10452261306532663,0.022110552763819097,0.061306532663316586,0.1035175879396985,0.06331658291457286,0.06532663316582915,0.01507537688442211
28.24	0.9492907407292216	0.010050251256281407,0.054271356783919596,0.0814070351758794,0.0914572864321608,0.07236180904522613,0.03015075376884422,0.09447236180904522,0.06532663316582915,0.054271356783919596,0.1185929648241206,0.021105527638190954,0.06934673366834171,0.09949748743718594,0.06030150753768844,0.06532663316582915,0.012060301507537688
28.24	0.9645800264217055	0.011055276381909548,0.05527638190954774,0.06733668341708543,0.08743718592964825,0.06834170854271357,0.03919597989949749,0.10251256281407035,0.0592964824120603,0.05527638190954774,0.10050251256281408,0.04020100502512563,0.0743718592964824,0.08743718592964825,0.07537688442211055,0.0592964824120603,0.017085427135678392
28.24	0.9541839331358316	0.01407035175879397,0.05728643216080402,0.06633165829145729,0.08844221105527639,0.062311557788944726,0.02814070351758794,0.11457286432160804,0.0592964824120603,0.05728643216080402,0.0964824120603015,0.024120603015075376,0.08542713567839195,0.0914572864321608,0.08241206030150754,0.0592964824120603,0.01306532663316583
28.24	0.9613864085670605	0.019095477386934675,0.06432160804020101,0.07839195979899498,0.08542713567839195,0.07839195979899498,0.033165829145728645,0.10251256281407035,0.053266331658291456,0.06432160804020101,0.09949748743718594,0.033165829145728645,0.07035175879396985,0.08542713567839195,0.07035175879396985,0.053266331658291456,0.009045226130653266
28.24	0.957938522075113	0.006030150753768844,0.05628140703517588,0.0864321608040201,0.08442211055276382,0.0814070351758794,0.034170854271356785,0.08442211055276382,0.06532663316582915,0.05628140703517588,0.11457286432160804,0.03015075376884422,0.06532663316582915,0.08844221105527639,0.061306532663316586,0.06532663316582915,0.020100502512562814
28.24	0.9654660349534036	0.019095477386934675,0.06633165829145729,0.07135678391959799,0.08743718592964825,0.07537688442211055,0.031155778894472363,0.10050251256281408,0.05728643216080402,0.06633165829145729,0.09246231155778895,0.035175879396984924,0.07035175879396985,0.08341708542713568,0.0743718592964824,0.05728643216080402,0.012060301507537688
28.24	0.9527254518888336	0.011055276381909548,0.06633165829145729,0.06834170854271357,0.09748743718592964,0.07336683417085427,0.021105527638190954,0.10050251256281408,0.06331658291457286,0.06633165829145729,0.09949748743718594,0.02613065326633166,0.06633165829145729,0.09346733668341708,0.07135678391959799,0.06331658291457286,0.012060301507537688
28.24	0.9575255455825271	0.008040201005025126,0.06432160804020101,0.07035175879396985,0.09246231155778895,0.07135678391959799,0.02512562814070352,0.09246231155778895,0.06934673366834171,0.06432160804020101,0.09849246231155778,0.02613065326633166,0.06834170854271357,0.0914572864321608,0.07035175879396985,0.06934673366834171,0.018090452261306532
