a	Permutation_Entropy	Pattern_Probabilities
0.2025	0.7354859452028594	0.0,0.13668341708542714,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.07135678391959799,0.11457286432160804,0.13668341708542714,0.05125628140703518,0.0,0.0,0.1849246231155779,0.0,0.1135678391959799,0.0
0.2025	0.7345784740734126	0.0,0.13969849246231156,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.07537688442211055,0.11055276381909548,0.13969849246231156,0.04824120603015075,0.0,0.0,0.1849246231155779,0.0,0.10954773869346733,0.0
0.2025	0.7269937051276046	0.0,0.14371859296482412,0.0010050251256281408,0.18693467336683417,0.0010050251256281408,0.0,0.08341708542713568,0.10452261306532663,0.14371859296482412,0.044221105527638194,0.0,0.0,0.18693467336683417,0.0,0.10452261306532663,0.0
0.2025	0.7409086378085299	0.0,0.13467336683417086,0.005025125628140704,0.1829145728643216,0.005025125628140704,0.0,0.06633165829145729,0.11758793969849246,0.13467336683417086,0.053266331658291456,0.0,0.0,0.1829145728643216,0.0,0.11758793969849246,0.0
0.2025	0.7334220136325029	0.0,0.14271356783919598,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.0763819095477387,0.10854271356783919,0.14271356783919598,0.04522613065326633,0.0,0.0,0.1849246231155779,0.0,0.10854271356783919,0.0
0.2025	0.7357509110078885	0.0,0.13467336683417086,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.06834170854271357,0.11658291457286432,0.13467336683417086,0.053266331658291456,0.0,0.0,0.1849246231155779,0.0,0.11658291457286432,0.0
0.2025	0.7351236461612665	0.0,0.13869346733668342,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.07336683417085427,0.11155778894472362,0.13768844221105528,0.05025125628140704,0.0,0.0,0.1849246231155779,0.0,0.11155778894472362,0.0
0.2025	0.7366609357338447	0.0,0.12964824120603016,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.06432160804020101,0.12160804020100502,0.12964824120603016,0.05829145728643216,0.0,0.0,0.1849246231155779,0.0,0.12060301507537688,0.0
0.2025	0.7302138740861037	0.0,0.13366834170854272,0.0010050251256281408,0.1879396984924623,0.0010050251256281408,0.0,0.07336683417085427,0.11457286432160804,0.13366834170854272,0.054271356783919596,0.0,0.0,0.18693467336683417,0.0,0.1135678391959799,0.0
0.2025	0.7312330798788916	0.0,0.1407035175879397,0.0020100502512562816,0.18693467336683417,0.0020100502512562816,0.0,0.07738693467336684,0.10854271356783919,0.1407035175879397,0.04723618090452261,0.0,0.0,0.18592964824120603,0.0,0.10854271356783919,0.0
